year,country,country_code,inflation_cpi_pct,gdp_per_capita_usd,unemployment_pct,trade_pct_gdp,m2_pct_gdp
2010,Canada,CAN,1.77687154092627,47560.6666009406,8.178,60.2081215044483,
2011,Canada,CAN,2.91213508872351,52223.8588398531,7.637,62.4987387708328,
2012,Canada,CAN,1.51567823124516,52670.3447335415,7.392,62.5955489395005,
2013,Canada,CAN,0.938291897815316,52638.1187235237,7.143,62.2310749013405,
2014,Canada,CAN,1.90663590717861,50960.8431174661,7.023,64.3786621564923,
2015,Canada,CAN,1.12524136094277,43594.1941045394,6.945,66.1649020669781,
2016,Canada,CAN,1.42875954701085,42314.0615817218,7.038,65.3636845215556,
2017,Canada,CAN,1.59688412852976,45129.628116623,6.426,65.1010608504649,
2018,Canada,CAN,2.26822567248103,46539.1761570405,5.837,66.5998858508762,
2019,Canada,CAN,1.94926902411592,46352.8693445211,5.69,66.1714852804959,
2020,Canada,CAN,0.716999632307827,43537.839298904,9.657,61.1567709632763,
2021,Canada,CAN,3.39519318527527,52886.6616372703,7.527,62.2468367159421,
2022,Canada,CAN,6.80280115341612,56256.8007264015,5.279,67.3176215563989,
2023,Canada,CAN,3.87900159788425,54220.3285039875,5.415,66.6323313370668,
2024,Canada,CAN,2.38158383281173,54340.3477224733,6.351,65.1499212653783,
2010,Germany,DEU,1.1038103778926,42396.9665976293,7.043,73.8852351200263,
2011,Germany,DEU,2.07517283735874,47630.9761883572,5.967,78.433002901442,
2012,Germany,DEU,2.00848884782956,44718.0159214069,5.372,79.3316495670315,
2013,Germany,DEU,1.50472330251876,47206.8353514242,5.316,77.5860288576931,
2014,Germany,DEU,0.906794000434245,48959.5991203133,4.979,76.8483516336234,
2015,Germany,DEU,0.514426137125456,41929.7549110722,4.612,77.7565815686922,
2016,Germany,DEU,0.491747008445174,42948.9381932694,4.104,76.0059902166055,
2017,Germany,DEU,1.50949485109628,45553.9341495339,3.781,77.4548394742448,
2018,Germany,DEU,1.73216879766941,48916.1686612154,3.384,79.1252260463654,
2019,Germany,DEU,1.44565976888253,47656.199739747,3.163,79.0732427175683,
2020,Germany,DEU,0.144877925813981,47394.8734504469,3.881,72.9335327120137,
2021,Germany,DEU,3.06666666666673,52349.2459994422,3.594,79.9195348609851,
2022,Germany,DEU,6.87257438551096,50506.5179638543,3.137,88.7857542130501,
2023,Germany,DEU,5.94643667725823,54776.7668235491,3.071,81.9625483787634,
2024,Germany,DEU,2.2564981433876,56103.7323182554,3.4,79.0907305894936,
2010,France,FRA,1.53112270420918,40694.8211697025,9.279,56.587555247796,
2011,France,FRA,2.11159795175,43929.7840873812,9.228,60.6056354816406,
2012,France,FRA,1.95419531613509,40863.5814412333,9.841,61.6589570771102,
2013,France,FRA,0.863715497861804,42669.1795111893,9.913,61.8192338733962,
2014,France,FRA,0.507758822937989,43148.0459288416,10.273,62.1992669379507,
2015,France,FRA,0.0375143805125181,36702.4323733379,10.354,63.5046871956484,
2016,France,FRA,0.183334861123764,37024.2157133669,10.057,63.3427564383351,
2017,France,FRA,1.03228275064681,38687.1626407164,9.409,65.3958481559711,
2018,France,FRA,1.85081508315492,41418.1766484844,9.018,66.8022607812266,
2019,France,FRA,1.10825492288293,40408.2848574751,8.415,66.4289771741449,
2020,France,FRA,0.476498852725065,39169.8606000707,8.009,58.8388907240647,
2021,France,FRA,1.64233141038393,43725.0999521245,7.871,63.788482630872,
2022,France,FRA,5.22236748369725,40988.6396406579,7.303,75.9630077981996,
2023,France,FRA,4.8783572650844,44700.1384177544,7.335,70.6261450610225,
2024,France,FRA,1.99904942291462,46103.0840855884,7.4,68.1081875443744,
2010,United Kingdom,GBR,2.49265472467065,39778.3220528565,7.973,59.0511802227821,162.71011110175
2011,United Kingdom,GBR,3.8561124468282,42295.9273835322,8.195,63.3240615708901,150.482621483146
2012,United Kingdom,GBR,2.5732347965453,42688.3263728372,8.279,61.9688704472535,147.082166986044
2013,United Kingdom,GBR,2.29166666666659,43606.9837896348,7.752,61.7195395154583,144.519765569044
2014,United Kingdom,GBR,1.45112016293279,47746.2421759562,6.398,58.8210228333296,134.397088665789
2015,United Kingdom,GBR,0.36804684232536,45255.3449216209,5.552,57.125044605439,133.286497622426
2016,United Kingdom,GBR,1.0084173681141,41257.9085545556,4.909,59.8395315138259,139.358126055304
2017,United Kingdom,GBR,2.55775577557747,40916.8115070354,4.501,63.1899245764158,144.265652372519
2018,United Kingdom,GBR,2.29283990345938,43702.9976303165,4.145,64.9097721959201,146.711233726553
2019,United Kingdom,GBR,1.73810460086513,43158.7411267323,3.657,65.0035664177054,139.481331456692
2020,United Kingdom,GBR,0.989486703772491,40812.6794663879,4.472,59.1598893030611,162.255779585075
2021,United Kingdom,GBR,2.51837109614213,47691.3768799404,4.864,58.53838629291,162.874808623935
2022,United Kingdom,GBR,7.92204883147902,47057.043229179,3.768,69.1989264413981,159.190979752021
2023,United Kingdom,GBR,6.79396706793963,49944.4702124201,4.025,64.9923841747803,145.360559908494
2024,United Kingdom,GBR,3.2715729463592,53246.3676145108,4.361,62.8401605267118,142.271722042187
2010,Japan,JPN,-0.728243207517779,44968.1562349739,5.102,28.4984726938389,215.295730861792
2011,Japan,JPN,-0.27245561610124,48760.0789494211,4.55,30.1949607286296,225.179450592815
2012,Japan,JPN,-0.0440645104432602,49145.2804308193,4.358,30.4709109171752,228.697774333048
2013,Japan,JPN,0.335037912184741,40898.6478964744,4.038,33.9787686509511,232.994437199406
2014,Japan,JPN,2.75922671353253,38475.3952461838,3.589,37.4314345686579,234.994786155267
2015,Japan,JPN,0.795279630579839,34960.6393843385,3.385,35.4274083544798,233.385876647183
2016,Japan,JPN,-0.127258844489754,39375.4731620781,3.132,31.3102468455884,239.557954356327
2017,Japan,JPN,0.484199796126385,38834.0529341227,2.822,34.4232135721686,244.007373348545
2018,Japan,JPN,0.989094598021848,39751.1330982711,2.467,36.609931802107,248.079146276854
2019,Japan,JPN,0.46877615938395,40415.9567649547,2.351,35.2164181084145,252.624917818404
2020,Japan,JPN,-0.024995834027731,40028.7341726762,2.809,31.335208636773,280.389625791723
2021,Japan,JPN,-0.233352779398264,40094.5599795288,2.808,36.7384462280698,281.640567720117
2022,Japan,JPN,2.49770278172255,34065.6438962526,2.614,46.8129868368938,284.211926366533
2023,Japan,JPN,3.26813365933163,33836.1756271617,2.6,45.1508795641248,274.876556923532
2024,Japan,JPN,2.73853681635241,32487.0778047567,2.5,46.4069516150859,267.0771148665
2010,New Zealand,NZL,2.30202385958572,33761.9009639947,6.557,58.1047406012087,92.4644459297494
2011,New Zealand,NZL,4.0279066739204,38431.7766788499,6.491,59.1724105593848,
2012,New Zealand,NZL,1.05991318445632,40053.6991536369,6.931,56.9087671962042,
2013,New Zealand,NZL,1.13442266445817,43000.4646849189,5.839,55.9861241102171,92.7666772567641
2014,New Zealand,NZL,1.227507505974,44618.266973847,5.428,55.0986550961851,94.9176056019134
2015,New Zealand,NZL,0.292704628136101,38665.3723018158,5.415,54.851331734287,99.1055253180159
2016,New Zealand,NZL,0.646240284454524,40113.7195382428,5.147,52.4062478142589,100.383422971724
2017,New Zealand,NZL,1.85078767452536,42950.3841711138,4.736,54.1432970416804,100.558073518091
2018,New Zealand,NZL,1.59829703801696,43257.0769238879,4.335,55.7664814899437,101.640065736649
2019,New Zealand,NZL,1.61963190184048,42855.831861632,4.109,54.4542971758367,100.851852516261
2020,New Zealand,NZL,1.71456170007245,41997.7830324279,4.595,43.9772422862431,111.347181769476
2021,New Zealand,NZL,3.94112060778728,49950.4251691316,3.776,48.5412477650846,109.058840239059
2022,New Zealand,NZL,7.17222476016441,49099.7090423358,3.299,53.4761627655817,101.335429441227
2023,New Zealand,NZL,5.73316283034957,49075.9562832927,3.734,50.4064316790513,99.3792286701575
2024,New Zealand,NZL,2.92279782301957,49205.1792146792,4.724,51.224397222513,100.041783034998
2010,United States,USA,1.6400434423899,48642.6100179312,9.633,28.2198952346731,84.8488194548099
2011,United States,USA,3.156841568622,50024.868799398,8.949,30.8424862411943,87.3236854752959
2012,United States,USA,2.06933726526067,51708.4011556577,8.069,30.6818353657295,87.9168403553935
2013,United States,USA,1.46483265562717,53179.0127634561,7.375,30.0079539684645,88.6600822295295
2014,United States,USA,1.62222297740817,54973.4207515712,6.168,30.0044781614855,89.4921844451816
2015,United States,USA,0.118627135552451,56572.9188996063,5.28,27.8235649187872,88.9823670823258
2016,United States,USA,1.26158320570536,57638.1018367192,4.869,26.6079620604584,89.9901690829483
2017,United States,USA,2.13011000365961,59635.0984397965,4.355,27.3130208877206,90.523830668235
2018,United States,USA,2.44258329692817,62499.8744390068,3.896,27.6103792720958,89.3303888953359
2019,United States,USA,1.81221007526021,64746.4506778863,3.669,26.4537594940475,92.9869795054421
2020,United States,USA,1.23358439630629,63515.9491807833,8.055,23.4015629969394,110.638764693403
2021,United States,USA,4.69785886363742,70205.050916026,5.349,25.6095576621932,116.786350489931
2022,United States,USA,8.00279982052121,76657.2488844403,3.65,27.3139397355363,105.446224272594
2023,United States,USA,4.11633838374488,81032.262117545,3.638,25.2903297883366,100.684411105603
2024,United States,USA,2.94952520485207,84534.0407841548,4.022,25.3786342507088,100.72434885096
